         200,        1186
         201,         466
         201,        -956
         201,        -938
         201,         492
         200,        1182
         201,          92
         202,       -1136
         201,        -654
         201,         813
         201,        1056
         201,        -291
         202,       -1199
         202,        -302
         201,        1050
         201,         821
         202,        -644
         202,       -1140
         202,          80
         201,        1180
         202,         502
         202,        -931
         203,        -963
         202,         455
         202,        1188
         202,         131
         203,       -1123
         203,        -686
         202,         783
         202,        1074
         203,        -252
         203,       -1199
         202,        -340
         202,        1030
         202,         849
         203,        -610
         203,       -1151
         202,          41
         202,        1172
         202,         538
         203,        -906
         203,        -986
         202,         418
         201,        1193
         202,         170
         203,       -1108
         202,        -718
         202,         753
         201,        1091
         202,        -213
         202,       -1197
         202,        -377
         201,        1010
         201,         877
         202,        -576
         202,       -1162
         201,           1
         201,        1163
         201,         573
         202,        -879
         202,       -1008
         201,         381
         201,        1196
         201,         210
         202,       -1092
         202,        -750
         201,         722
         201,        1107
         201,        -174
         202,       -1193
         201,        -415
         201,         988
         201,         903
         201,        -541
         202,       -1171
         201,         -37
         200,        1152
         201,         607
         201,        -852
         201,       -1029
         201,         343
         200,        1198
         201,         248
         201,       -1075
         201,        -780
         201,         690
         200,        1121
         201,        -135
         202,       -1188
         201,        -452
         201,         965
         201,         929
         201,        -505
         202,       -1179
         201,         -77
         201,        1141
         201,         641
         202,        -824
         202,       -1048
         201,         305
         201,        1199
         202,         287
         202,       -1057
         202,        -810
         202,         657
         201,        1135
         202,         -96
         203,       -1182
         203,        -488
         202,         941
         202,         953
         203,        -469
         203,       -1186
         203,        -116
         202,        1128
         203,         674
         203,        -794
         204,       -1067
         203,         267
         203,        1199
         203,         325
         204,       -1038
         204,        -839
         203,         623
         203,        1147
         204,         -56
         204,       -1175
         204,        -524
         203,         916
         203,         977
         204,        -432
         204,       -1191
         203,        -156
         203,        1114
         203,         706
         204,        -764
         204,       -1084
         203,         228
         202,        1197
         203,         363
         204,       -1018
         203,        -866
         203,         589
         202,        1158
         203,         -16
         204,       -1166
         203,        -559
         202,         890
         202,         999
         203,        -395
         203,       -1195
         203,        -195
         202,        1099
         202,         738
         203,        -733
         203,       -1101
         202,         189
         201,        1195
         202,         401
         202,        -996
         202,        -893
         201,         554
         201,        1168
         202,          22
         202,       -1156
         202,        -594
         201,         863
         201,        1021
         201,        -358
         202,       -1198
         201,        -234
         200,        1082
         201,         769
         201,        -702
